Point,X,Y
1,0.808996942993297,0.567543339430341
2,0.707561968123218,0.626964186078693
3,0.608705498508693,0.673590356104698
4,0.534974676326968,0.65525391733868
5,0.540849309396758,0.578877609863476
6,0.409600477175483,0.681646398236525
7,0.409607745550246,0.69756475502234
8,0.378962488549323,0.704063906567168
9,0.339378163521598,0.746929152569143
10,0.233980998840295,0.785704248782201
11,0.10465496990375,0.813201692739743
12,0.154707983297505,0.915594413092851
13,0.284557049240202,0.869699067343891
14,0.319365462502196,0.925123176270016
15,0.455488821702006,0.968680708998975
16,0.49683600782397,0.865672156820476
17,0.48770178337175,0.858007351369854
18,0.592953410853814,0.787176812004126
19,0.594250046152661,0.892769237159959
20,0.640194804019725,0.876619050374426
21,0.681431395710983,0.879890728682001
22,0.689974657587424,0.833759355556722
23,0.790025824680382,0.932974923454528
24,0.882213716080992,0.881749264060295
25,0.946651691478011,0.893386540033775
26,0.943299389265874,0.844139195455669
27,0.965121032527329,0.8005837320974
28,0.996774146634219,0.810544823236958
29,0.973064039527861,0.703357446228376
30,0.909147638607081,0.722170002305135
31,0.765636714673522,0.720403995832682
32,0.789675715051621,0.686783457615024
33,0.889149825400938,0.552414455765174
34,0.921809533638626,0.467596689707618
35,0.949165927972991,0.461077786630659
36,0.898933075469241,0.303082505844342
37,0.816831983236648,0.344727745825217
38,0.755943008175022,0.322877916247552
39,0.821193982921143,0.273635151114528
40,0.888710259789253,0.240910138020854
41,0.881702001442883,0.224646436001567
42,0.885413660998305,0.151319313774293
43,0.937493006429958,0.0576570086742306
44,0.752099172276928,0.0726528087208599
45,0.730863001681993,0.125701626554445
46,0.63944283437974,0.124867164918658
47,0.606787313591764,0.0704955805501958
48,0.575594413811734,0.0112663899498562
49,0.553660818447538,0.108337231917992
50,0.537452220343491,0.126833420768668
51,0.398956407419677,0.0858540187293063
52,0.353120741893158,0.0669232928765864
53,0.262883904281495,0.0724919579339306
54,0.183703915631578,0.0366502565617561
55,0.0,0.0
56,0.133812712478828,0.075590248671637
57,0.280562386736274,0.154724042285162
58,0.240618119036118,0.244629737255703
59,0.157466018502069,0.280533399176806
60,0.026710122133552,0.299350215986773
61,0.120837566354739,0.385628820545984
62,0.137350073322644,0.385554543084332
63,0.0345665863541814,0.488586934598538
64,0.0617477844250881,0.655913731325596
65,0.09483426773521,0.631228557700665
66,0.150075071297025,0.658530079391558
67,0.148409743692726,0.620446245691325
68,0.263933325992759,0.476951377451183
69,0.278384357717436,0.495453316849269
70,0.380926045945998,0.429145887052253
71,0.293459605315916,0.349650300623082
72,0.39489794019417,0.341486060608845
73,0.586913623359149,0.373351443905271
74,0.712997690074996,0.431705030687203
75,0.679215178854816,0.498012978450687
76,0.791526315374967,0.502751230595234
